City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Rio Pardo De Minas,BR,83.14,clear sky,-15.6097,-42.5397,Hotel Oásis Cidade Alta
409,Gbadolite,CD,77.16,broken clouds,4.2833,21.0167,Zenic
410,Sao Joao De Pirabas,BR,80.71,moderate rain,-0.7747,-47.1772,POUSADA SOL E MAR
412,Tecolutla,MX,89.46,overcast clouds,20.4833,-97.0167,Hotel Plaza Marsol
413,Mahajanga,MG,80.13,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
414,Nirmal,IN,86.95,broken clouds,19.1,78.35,Hotel Mayuri
415,Caravelas,BR,80.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
421,Hobyo,SO,81.61,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
431,Port Blair,IN,80.42,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
437,Pueblo Nuevo,MX,77.23,clear sky,23.3833,-105.3833,
441,Sunel,IN,84.58,clear sky,24.3667,75.9667,Retorent
447,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
453,Juba,SS,81.45,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
458,Mamallapuram,IN,84.25,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
467,Totness,SR,79.66,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
471,San Felipe,VE,87.58,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
472,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
486,Siavonga,ZM,76.06,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
488,Shush,IR,80.35,overcast clouds,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
494,Maraa,BR,80.24,scattered clouds,-1.8333,-65.3667,
497,Sambava,MG,77.65,light rain,-14.2667,50.1667,Melrose
503,Harper,LR,80.31,overcast clouds,4.375,-7.7169,Screensaver
506,Kalianget,ID,79.05,clear sky,-7.05,113.9333,Pesanggrahan Garam
508,Axim,GH,81.97,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
510,Sinnamary,GF,79.23,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
515,Haapiti,PF,83.93,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
517,Ormara,PK,77.5,clear sky,25.2088,64.6357,Kenara Colony house for Rent
522,Kieta,PG,79.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
523,Pahrump,US,78.44,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
532,Xapuri,BR,88.77,scattered clouds,-10.6517,-68.5044,Pousada dos Chapurys
533,Nova Olimpia,BR,85.23,clear sky,-14.7972,-57.2881,Motel glamour
535,Biak,ID,76.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
537,Sao Felix Do Xingu,BR,80.04,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
539,Oranjestad,AW,84.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
543,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
544,Sabha,LY,81.61,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
545,Sheopur,IN,84.09,clear sky,25.6667,76.7,Shri Ram Dharmshala
546,Caraguatatuba,BR,76.68,broken clouds,-23.6338,-45.4899,Cibele Cass
558,Kloulklubed,PW,81.18,light rain,7.0419,134.2556,Storyboard Beach Resort
563,Pontes E Lacerda,BR,82.26,scattered clouds,-15.2261,-59.3353,Hotel Bressan
564,Kupang,ID,76.3,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
567,Laguna,US,80.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
569,Vanimo,PG,77.31,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
571,Umm Lajj,SA,82.44,overcast clouds,25.0213,37.2685,Moon light Furnished Units
575,Iracoubo,GF,79.18,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
576,Le Port,RE,75.2,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
580,Sao Geraldo Do Araguaia,BR,81.16,moderate rain,-6.4006,-48.555,Hotel Por do Sol
582,El Alto,PE,82.06,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
587,Jiwani,PK,78.22,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
588,Tambun,ID,83.46,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
589,Mahibadhoo,MV,82.6,few clouds,3.7833,72.9667,Omadhoo Inn
590,Abidjan,CI,84.16,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
592,Narsimhapur,IN,86.09,clear sky,22.95,79.2,Hotel Pratap Palace
598,Corrente,BR,80.65,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
614,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
615,Vilhena,BR,79.88,overcast clouds,-12.7406,-60.1458,Hotel Mirage
616,Novo Aripuana,BR,80.35,heavy intensity rain,-5.1206,-60.3797,Hotel Ezequiel
627,Khorramshahr,IR,78.75,broken clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
628,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
629,Lufilufi,WS,85.78,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
632,Ca Mau,VN,77.02,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
633,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
639,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
642,Muli,MV,82.74,clear sky,2.9167,73.5667,Medhufushi Island Resort
643,Campos Belos,BR,84.2,few clouds,-13.0367,-46.7717,Pousada Carnaúba
652,Bogale,MM,78.71,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
653,Karratha,AU,80.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
655,San Ramon,US,80.82,clear sky,37.7799,-121.978,San Ramon Marriott
659,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
661,Bowen,AU,77.97,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
662,Coari,BR,77.67,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
666,Coahuayana,MX,86.43,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
669,Padang,ID,75.87,scattered clouds,-0.9492,100.3543,Mercure Padang
672,Natitingou,BJ,81.68,overcast clouds,10.3042,1.3796,Cotonou
674,Islamkot,PK,77.67,clear sky,24.6997,70.177,Haji Hotel
675,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
676,Port-Gentil,GA,81.12,scattered clouds,-0.7193,8.7815,Fengshui Residence
677,Spring Hill,US,80.64,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
678,Zinder,NE,82.98,scattered clouds,13.8072,8.9881,Hotel de Ville
680,Pouembout,NC,78.75,overcast clouds,-21.1333,164.9,Camping de Tipenga
