City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Arraial Do Cabo,-22.9661,-42.0278,75.27,90,100,19.3,BR,2022-04-02 00:45:25
67,Vaini,-21.2,-175.2,84.36,79,75,4.61,TO,2022-04-02 00:47:21
68,Namie,37.4833,141.0,48.54,57,9,1.01,JP,2022-04-02 00:48:24
69,Bandarbeyla,9.4942,50.8122,77.43,82,0,7.18,SO,2022-04-02 00:48:24
70,Havelock,34.8791,-76.9013,67.95,52,0,8.05,US,2022-04-02 00:48:25
71,Ponta Do Sol,32.6667,-17.1,63.01,85,100,0.47,PT,2022-04-02 00:48:25
72,Kachiry,53.0675,76.1036,31.69,83,61,12.1,KZ,2022-04-02 00:48:26
73,Tailai,46.3833,123.4,45.28,25,0,5.75,CN,2022-04-02 00:48:26
74,Laguna,38.421,-121.4238,79.09,25,0,6.91,US,2022-04-02 00:48:26
75,Surgut,61.25,73.4167,6.98,84,0,7.0,RU,2022-04-02 00:48:27
76,Sioux Lookout,50.1001,-91.917,41.07,42,75,9.22,CA,2022-04-02 00:48:27
77,Kalmunai,7.4167,81.8167,77.85,83,32,7.67,LK,2022-04-02 00:48:28
78,Kaitangata,-46.2817,169.8464,63.32,53,0,9.35,NZ,2022-04-02 00:48:28
79,Itarema,-2.9248,-39.9167,75.79,88,97,5.84,BR,2022-04-02 00:48:28
80,Bandar,2.05,99.75,75.61,92,100,1.7,ID,2022-04-02 00:48:29
81,Comodoro Rivadavia,-45.8667,-67.5,71.46,21,0,13.8,AR,2022-04-02 00:45:01
82,Aswan,24.0934,32.907,79.9,18,0,5.75,EG,2022-04-02 00:48:29
83,Muros,42.7762,-9.0603,38.84,84,10,9.64,ES,2022-04-02 00:48:30
84,Sitka,57.0531,-135.33,42.69,70,100,12.66,US,2022-04-02 00:48:30
85,Albany,42.6001,-73.9662,38.35,67,100,3.0,US,2022-04-02 00:43:55
86,Saint Anthony,45.0205,-93.218,42.42,69,100,12.66,US,2022-04-02 00:48:31
87,Turukhansk,65.8167,87.9833,10.33,95,100,9.31,RU,2022-04-02 00:48:28
88,Raahe,64.6833,24.4833,15.89,91,87,12.39,FI,2022-04-02 00:48:31
89,Mahebourg,-20.4081,57.7,76.24,94,75,23.02,MU,2022-04-02 00:48:32
90,Fare,-16.7,-151.0167,81.86,69,100,1.36,PF,2022-04-02 00:49:32
91,Alofi,-19.0595,-169.9187,85.89,70,68,11.5,NU,2022-04-02 00:46:41
92,Ornskoldsvik,63.2909,18.7153,22.15,86,22,8.05,SE,2022-04-02 00:49:33
93,Hualmay,-11.0964,-77.6139,69.31,84,96,9.33,PE,2022-04-02 00:49:33
94,Sunrise Manor,36.2111,-115.0731,82.81,16,0,6.91,US,2022-04-02 00:49:34
95,Hede,33.7681,120.2517,49.42,39,9,2.66,CN,2022-04-02 00:49:34
96,Okhotsk,59.3833,143.3,16.84,65,25,17.56,RU,2022-04-02 00:49:35
97,Phichit,16.25,100.4167,80.8,52,83,3.91,TH,2022-04-02 00:49:35
98,Narsaq,60.9167,-46.05,50.22,66,99,7.07,GL,2022-04-02 00:49:36
99,Aracuai,-16.8497,-42.0703,71.29,66,0,2.98,BR,2022-04-02 00:49:36
100,Dagda,56.0951,27.5372,26.76,80,100,9.69,LV,2022-04-02 00:49:37
101,Chicama,-7.8447,-79.1469,64.94,73,100,4.88,PE,2022-04-02 00:49:37
102,Hilo,19.7297,-155.09,76.73,87,100,9.22,US,2022-04-02 00:49:38
103,Hobart,-42.8794,147.3294,59.27,85,75,14.97,AU,2022-04-02 00:45:20
104,Ceres,37.5949,-120.9577,78.57,31,0,9.22,US,2022-04-02 00:49:38
105,Yar-Sale,66.8333,70.8333,4.82,92,35,11.41,RU,2022-04-02 00:49:38
106,Torbay,47.6666,-52.7314,34.29,95,100,34.52,CA,2022-04-02 00:49:39
107,Hithadhoo,-0.6,73.0833,82.8,71,3,8.43,MV,2022-04-02 00:49:39
108,Sao Filipe,14.8961,-24.4956,70.48,82,9,6.46,CV,2022-04-02 00:49:40
109,Port Hedland,-20.3167,118.5667,87.85,66,6,9.22,AU,2022-04-02 00:49:40
110,Saint George,37.1041,-113.5841,77.25,20,0,5.99,US,2022-04-02 00:49:41
111,Starozhilovo,54.2254,39.916,33.04,100,100,13.24,RU,2022-04-02 00:49:41
112,Lensk,60.7253,114.9278,21.79,82,100,12.55,RU,2022-04-02 00:49:41
113,Te Anau,-45.4167,167.7167,66.92,46,2,0.31,NZ,2022-04-02 00:49:42
114,Khatanga,71.9667,102.5,0.9,94,100,4.45,RU,2022-04-02 00:49:42
115,Barabinsk,55.3571,78.357,33.89,97,100,12.64,RU,2022-04-02 00:49:43
116,Cooma,-36.2333,149.1333,49.77,100,100,21.85,AU,2022-04-02 00:49:43
117,Victoria,22.2855,114.1577,61.25,80,100,11.01,HK,2022-04-02 00:49:10
118,Huarmey,-10.0681,-78.1522,70.57,82,62,10.02,PE,2022-04-02 00:49:44
119,Sechura,-5.5569,-80.8222,72.32,73,59,15.99,PE,2022-04-02 00:49:44
120,Khasan,42.4308,130.6434,43.34,43,91,4.99,RU,2022-04-02 00:49:45
121,Amahai,-3.3333,128.9167,82.85,75,7,2.91,ID,2022-04-02 00:49:45
122,Belaya Gora,68.5333,146.4167,0.07,88,66,1.39,RU,2022-04-02 00:49:45
123,Georgetown,5.4112,100.3354,82.33,93,20,3.44,MY,2022-04-02 00:45:11
124,Avera,33.194,-82.5271,63.91,47,0,7.25,US,2022-04-02 00:49:46
125,Atambua,-9.1061,124.8925,80.33,62,66,0.54,ID,2022-04-02 00:49:46
126,Saskylakh,71.9167,114.0833,5.34,95,99,7.45,RU,2022-04-02 00:49:47
127,Rio Branco,-9.9747,-67.81,63.21,100,75,3.44,BR,2022-04-02 00:49:47
128,Berlevag,70.8578,29.0864,21.0,74,100,15.35,NO,2022-04-02 00:49:47
129,Sao Joao Da Barra,-21.6403,-41.0511,75.76,88,5,3.38,BR,2022-04-02 00:48:04
130,Dikson,73.5069,80.5464,2.82,95,100,6.49,RU,2022-04-02 00:49:32
