City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Khatanga,RU,71.9667,102.5,-29.15,100,99,4.09,overcast clouds
79,Agadez,NE,19.75,10.25,87.39,5,0,6.15,clear sky
80,Carnarvon,AU,-24.8667,113.6333,77.07,83,40,12.66,scattered clouds
81,Ribeira Grande,PT,38.5167,-28.7,63.0,72,20,13.8,few clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,85.96,76,45,11.61,light rain
83,Tiksi,RU,71.6872,128.8694,4.77,98,100,8.01,overcast clouds
84,Geraldton,AU,-28.7667,114.6,72.01,88,75,16.11,broken clouds
85,Le Mans,FR,48.0,0.2,42.73,65,0,6.91,clear sky
86,Esperance,AU,-33.8667,121.9,62.44,92,100,7.54,light rain
87,Mae Sai,TH,20.4335,99.8762,66.63,66,11,1.66,few clouds
88,Provideniya,RU,64.3833,-173.3,2.8,74,0,11.5,clear sky
89,Avarua,CK,-21.2078,-159.775,78.85,89,100,3.44,overcast clouds
90,Wucheng,CN,29.6008,118.175,48.99,80,85,2.95,overcast clouds
91,Hilo,US,19.7297,-155.09,76.24,94,32,4.0,moderate rain
92,Chapais,CA,49.7834,-74.8492,38.98,85,100,5.99,overcast clouds
93,Puerto Leguizamo,CO,-0.1934,-74.7819,84.78,63,99,2.57,overcast clouds
94,Kotelnich,RU,58.3089,48.348,28.02,94,99,8.77,overcast clouds
95,Ostrovnoy,RU,68.0531,39.5131,15.84,92,100,6.58,overcast clouds
96,Jalu,LY,29.0331,21.5482,78.8,13,9,11.14,clear sky
97,Sao Caetano De Odivelas,BR,-0.75,-48.02,79.7,87,100,7.92,heavy intensity rain
98,Rawson,AR,-43.3002,-65.1023,62.29,26,13,15.77,few clouds
99,Belyy Yar,RU,53.6039,91.3903,35.85,93,40,8.95,light rain
100,Richards Bay,ZA,-28.783,32.0377,75.47,84,97,10.76,overcast clouds
101,Waspan,NI,14.7419,-83.9717,90.54,44,59,6.53,broken clouds
102,Sola,VU,-13.8833,167.55,79.29,72,100,9.6,overcast clouds
103,Saint Anthony,US,45.0205,-93.218,43.25,70,100,8.05,light snow
104,Bandarbeyla,SO,9.4942,50.8122,79.29,75,94,4.45,overcast clouds
105,Codrington,AU,-38.2667,141.9667,58.39,85,100,5.39,overcast clouds
106,San Jose,US,37.3394,-121.895,79.48,36,0,10.36,clear sky
107,Villa Carlos Paz,AR,-31.4241,-64.4978,75.06,26,0,8.01,clear sky
108,Bordighera,IT,43.7806,7.6645,48.09,71,14,7.31,light rain
109,Ambulu,ID,-8.345,113.6058,74.32,92,6,3.33,clear sky
110,Tieli,CN,46.95,128.05,45.55,46,2,14.79,clear sky
111,Surt,LY,31.2089,16.5887,62.82,77,0,15.79,clear sky
112,Vila,PT,42.0304,-8.1588,40.08,73,22,5.1,few clouds
113,Araguari,BR,-18.6472,-48.1872,80.11,54,3,4.68,clear sky
114,Port Elizabeth,ZA,-33.918,25.5701,64.31,91,0,8.05,clear sky
115,Mahon,ES,39.8885,4.2658,46.96,61,0,14.97,clear sky
116,Namibe,AO,-15.1961,12.1522,70.88,80,100,8.79,overcast clouds
117,Watford,GB,51.6553,-0.396,45.79,60,94,8.16,overcast clouds
118,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,84.29,34,12,12.28,few clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,75.22,65,40,21.85,scattered clouds
120,Saskylakh,RU,71.9167,114.0833,-7.06,98,100,9.66,overcast clouds
121,Chokurdakh,RU,70.6333,147.9167,-21.78,100,81,2.57,broken clouds
122,Male,MV,4.1748,73.5089,84.15,74,20,1.14,few clouds
123,Kuandian,CN,40.7286,124.7847,36.61,77,0,2.82,clear sky
124,Torbay,CA,47.6666,-52.7314,41.76,72,57,27.96,broken clouds
125,Vestmanna,FO,62.1564,-7.1664,43.72,100,100,23.02,mist
126,Arlit,NE,18.7369,7.3853,90.14,6,2,5.37,clear sky
127,Mozelos,PT,41.8677,-8.3978,49.62,71,24,6.58,few clouds
128,Santa Barbara,US,34.7333,-120.0343,62.91,71,75,3.44,broken clouds
129,Butaritari,KI,3.0707,172.7902,81.46,72,98,14.5,overcast clouds
130,Battle Creek,US,42.3212,-85.1797,45.54,72,100,5.93,overcast clouds
131,Souillac,MU,-20.5167,57.5167,79.18,83,75,11.5,broken clouds
132,Jamestown,US,42.097,-79.2353,34.02,71,100,5.01,snow
133,Norman Wells,CA,65.282,-126.8329,-3.96,54,75,4.61,broken clouds
134,Nelson Bay,AU,-32.7167,152.15,63.0,90,98,5.79,overcast clouds
135,Sitka,US,57.0531,-135.33,39.09,87,100,17.27,moderate rain
136,Faya,SA,18.3851,42.4509,63.73,26,85,3.67,overcast clouds
137,Pisco,PE,-13.7,-76.2167,73.45,64,0,18.41,clear sky
138,Luderitz,NA,-26.6481,15.1594,60.57,87,0,5.82,clear sky
139,Tasiilaq,GL,65.6145,-37.6368,20.77,95,95,4.74,overcast clouds
140,Naze,JP,28.3667,129.4833,57.42,61,13,12.15,few clouds
141,Clyde River,CA,70.4692,-68.5914,12.67,94,50,4.05,scattered clouds
142,Yellowknife,CA,62.456,-114.3525,20.41,74,98,14.63,overcast clouds
143,Nhulunbuy,AU,-12.2333,136.7667,75.81,88,91,0.0,overcast clouds
144,Cidreira,BR,-30.1811,-50.2056,69.98,95,100,19.13,moderate rain
145,Bulawayo,ZW,-20.15,28.5833,68.09,63,75,3.65,broken clouds
146,Byron Bay,AU,-28.65,153.6167,64.71,92,95,7.36,light rain
147,Genhe,CN,50.7833,121.5167,26.4,76,71,9.91,broken clouds
148,Ponta Do Sol,PT,32.6667,-17.1,60.01,71,100,15.35,overcast clouds
149,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,82.24,6,0,20.31,clear sky
150,Salekhard,RU,66.53,66.6019,13.64,83,100,11.61,overcast clouds
151,Vestmannaeyjar,IS,63.4427,-20.2734,42.98,81,100,18.9,overcast clouds
152,Kavaratti,IN,10.5669,72.642,82.31,72,71,7.0,broken clouds
153,Nanortalik,GL,60.1432,-45.2371,37.85,80,98,5.39,overcast clouds
154,Beringovskiy,RU,63.05,179.3167,-4.9,86,49,15.26,scattered clouds
155,Ancud,CL,-41.8697,-73.8203,50.23,67,81,8.99,broken clouds
156,Nome,US,64.5011,-165.4064,13.1,53,92,5.03,overcast clouds
157,College,US,64.8569,-147.8028,21.58,64,100,4.0,overcast clouds
158,Margate,GB,51.3813,1.3862,42.69,65,57,1.99,broken clouds
159,Tongliao,CN,43.6125,122.2653,49.57,32,43,21.52,scattered clouds
160,Dubbo,AU,-32.25,148.6167,51.93,87,100,3.44,overcast clouds
161,Kavieng,PG,-2.5744,150.7967,80.69,78,100,4.63,light rain
162,Bilma,NE,18.6853,12.9164,87.26,5,3,5.79,clear sky
163,Naryshkino,RU,52.9678,35.7268,29.75,96,100,9.4,overcast clouds
164,Oda,JP,35.1833,132.5,43.99,84,0,5.82,clear sky
165,Wuwei,CN,37.9281,102.6414,48.2,16,99,5.97,overcast clouds
166,Muisne,EC,0.6,-80.0333,80.85,78,98,9.86,overcast clouds
167,Semnan,IR,35.5729,53.3971,68.67,22,0,1.52,clear sky
168,Vardo,NO,70.3705,31.1107,26.58,93,75,10.36,light shower snow
169,Chuy,UY,-33.6971,-53.4616,71.62,68,92,10.69,moderate rain
170,Katherine,AU,-14.4667,132.2667,75.52,64,39,4.61,scattered clouds
171,Iqaluit,CA,63.7506,-68.5145,25.7,86,60,23.0,broken clouds
172,Rio Bueno,CL,-40.3167,-72.9667,57.11,56,100,3.78,overcast clouds
173,Mehamn,NO,71.0357,27.8492,28.31,65,96,11.3,overcast clouds
174,Palm Valley,US,30.1775,-81.3876,82.13,48,0,6.31,clear sky
175,Marsabit,KE,2.3284,37.9899,74.08,41,72,11.65,broken clouds
176,Porto-Vecchio,FR,41.591,9.2795,47.73,66,0,12.66,clear sky
177,Nata,PA,8.3333,-80.5167,92.17,46,76,13.09,broken clouds
178,Roald,NO,62.5833,6.1333,38.75,100,100,4.61,light shower snow
